Code,University ,Code of university ,City,Address
 5B030100 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
5B010100,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
5B010200,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
5B010300 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
5B010600 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
5B010800 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
5B010900 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
5B011000 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
5B012000 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
5B020300 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
5B040900 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
5B042100 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
5B050300 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
5B050600 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
5B050700 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
5B050800 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
5B050900 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
5B051000 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
5B051100 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
5B051300 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
5B060100 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
5B060200 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
5B060400 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
5B060600 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
5B060700 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
5B060800 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
5B070300 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
5B070400 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
5B070500 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
5B070700 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
5B070800 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
5B070900 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
5B071300 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
5B072000 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
5B072100 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
5B072900 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
5B090200 ,Республиканское государственное предприятие на праве хозяйственного ведения «Актюбинский региональный государственный университет имени К. Жубанова»,5,Актобе,"проспект А.Молдагуловой, 34"
 5B010500 ,Республиканское государственное предприятие на праве хозяйственного ведения «Казахский национальный педагогический университет имени Абая»,7,Алматы,"проспект Достык, 13"
 5B010700 ,Республиканское государственное предприятие на праве хозяйственного ведения «Казахский национальный педагогический университет имени Абая»,7,Алматы,"проспект Достык, 13"
 5B011100 ,Республиканское государственное предприятие на праве хозяйственного ведения «Казахский национальный педагогический университет имени Абая»,7,Алматы,"проспект Достык, 13"
 5B011200 ,Республиканское государственное предприятие на праве хозяйственного ведения «Казахский национальный педагогический университет имени Абая»,7,Алматы,"проспект Достык, 13"
