Code,University ,Code of university,City,Address
5B070400,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B070500,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B070700,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B070800,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B070900,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B071300,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B072000,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B072100,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B072900,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B090200,Republican state enterprise on the basis of economic conduct «K.Zhubanov Aktobe Regional State University»,5,Aktobe,"A.Moldagulova avenue, 34"
5B010100,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B010200,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B010300,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B010400,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B010500,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B010600,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B010700,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B010800,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B010900,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B011000,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B011100,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B011200,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B011300,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B011400,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B011600,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B011700,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
5B011800,Republican state enterprise on the basis of economic conduct «Abai Kazakh National Pedagogical University»,7,Almaty,"Dostyk аvenue, 13"
