,# of rooms,Area,Floor,Location,Price
8617,1,55.0,8,Медеуский,22500000.0
8618,1,48.0,9,Бостандыкский,20500000.0
8619,1,33.0,5,Жетысуский,10699988.0
8620,2,47.0,3,Ауэзовский,15000000.0
8621,3,75.0,6,Алмалинский,26000000.0
8622,2,44.0,2,Ауэзовский,15000000.0
8623,3,63.6,2,Медеуский,39000000.0
8624,3,71.0,5,Медеуский,24000000.0
8625,2,65.0,2,Медеуский,38000000.0
8626,2,53.0,4,Ауэзовский,20000000.0
8627,3,58.0,2,Алмалинский,20000000.0
8628,1,38.0,7,Алмалинский,16000000.0
8629,1,47.0,5,Медеуский,20200000.0
8630,1,18.0,4,Ауэзовский,5900000.0
8631,3,120.0,1,Медеуский,182500000.0
8632,2,44.0,10,Ауэзовский,17500000.0
8633,1,30.5,1,Жетысуский,8500000.0
8634,3,87.0,3,Алатауский,23500000.0
8635,3,58.0,3,Алмалинский,21000000.0
8636,1,55.0,9,Медеуский,24500000.0
8637,4,104.0,10,Бостандыкский,50000000.0
8638,1,37.0,4,Алмалинский,16000000.0
8639,1,35.8,8,Алмалинский,12888000.0
8640,2,45.0,5,Ауэзовский,16500000.0
8641,2,45.0,2,Алмалинский,17000000.0
8642,2,44.5,2,Медеуский,20000000.0
8643,1,59.2,1,Бостандыкский,6900000.0
8644,2,56.0,3,Наурызбайский,23500000.0
8645,1,34.0,5,Алмалинский,16000000.0
8646,3,57.0,2,Алмалинский,15500000.0
8647,4,160.0,8,Медеуский,80000000.0
8648,4,162.0,15,Ауэзовский,44999999.0
8649,3,58.0,5,Ауэзовский,17200000.0
8650,3,56.0,3,Алмалинский,19000000.0
8651,2,70.0,9,Бостандыкский,38500000.0
8652,1,55.0,8,Медеуский,23000000.0
8653,3,80.0,3,Алмалинский,38000000.0
8654,2,84.0,7,Медеуский,46000000.0
8655,2,52.0,4,Медеуский,25250000.0
8656,1,30.0,2,Турксибский,7000000.0
8657,3,58.0,2,Алмалинский,20000000.0
8658,3,70.0,8,Ауэзовский,25500000.0
8659,1,58.0,7,Медеуский,27000000.0
8660,1,50.0,3,Ауэзовский,16000000.0
8661,3,78.9,1,Бостандыкский,37000000.0
8662,1,10.0,2,Ауэзовский,4500000.0
8663,1,10.0,4,Ауэзовский,4500000.0
8664,2,45.0,4,Бостандыкский,16000000.0
8665,1,40.0,3,Алмалинский,16500000.0
8666,3,75.0,5,Бостандыкский,28000000.0
8667,2,88.0,2,Медеуский,41600000.0
8668,1,45.0,5,Бостандыкский,27700000.0
8669,2,40.0,2,Бостандыкский,15000000.0
8670,3,74.0,3,Бостандыкский,30000000.0
8671,3,80.0,10,Бостандыкский,37500000.0
8672,2,56.0,15,Алмалинский,20000000.0
8673,2,46.0,16,Бостандыкский,28000000.0
8674,2,70.0,5,Алатауский,18000000.0
8675,2,65.0,12,Бостандыкский,28900000.0
8676,4,112.0,4,Алмалинский,47500000.0
8677,2,40.0,9,Бостандыкский,23500000.0
8678,3,94.0,3,Наурызбайский,21500000.0
8679,2,30.0,1,Турксибский,7988989.0
8680,3,85.0,7,Бостандыкский,43000000.0
8681,1,33.0,2,Бостандыкский,11500000.0
8682,3,87.0,5,Алатауский,23300000.0
8683,4,85.0,5,Алмалинский,32000000.0
8684,3,114.5,11,Медеуский,46000000.0
8685,2,73.0,13,Бостандыкский,37000000.0
8686,2,55.0,3,Бостандыкский,22000000.0
8687,1,14.0,3,Ауэзовский,4700000.0
8688,5,215.0,12,Алмалинский,57999999.0
